"Animal,Age,Temperature,Disease,blisters on gums,blisters on hooves,blisters on mouth,blisters on tongue,chest discomfort,chills,crackling sound,depression,difficulty walking,fatigue,lameness,loss of appetite,painless lumps,shortness of breath,sores on gums,sores on hooves,sores on mouth,sores on tongue,sweats,swelling in abdomen,swelling in extremities,swelling in limb,swelling in muscle,swelling in neck,fever"
"cow,2.3,105.7,Foot-and-Mouth Disease,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
"sheep,0.6,105.8,Foot-and-Mouth Disease,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.8,104.2,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0"
"buffalo,2.3,104.2,Bovine Pneumonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,7.1,105.0,Anthrax,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1"
"buffalo,2.4,104.9,Anthrax,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0"
"cow,1.7,104.9,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0"
"cow,4.1,105.1,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0"
"cow,7.1,105.1,Anthrax,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1"
"cow,4.8,105.2,Anthrax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0"
"buffalo,2.9,104.5,Black Quarter,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1"
"cow,5.0,104.6,Anthrax,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
"buffalo,4.3,104.1,Bovine Pneumonia,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0"
"sheep,3.3,104.3,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,2.4,104.0,Foot-and-Mouth Disease,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0"
"cow,0.6,104.9,Foot-and-Mouth Disease,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
"buffalo,2.0,104.5,Black Quarter,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0"
"cow,4.7,104.3,Anthrax,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0"
"cow,1.9,104.3,Foot-and-Mouth Disease,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,1.8,104.1,Lumpy Skin Disease,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0"
"sheep,6.6,104.4,Lumpy Skin Disease,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0"
"cow,2.2,103.7,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
"sheep,2.0,104.6,Foot-and-Mouth Disease,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,8.4,103.0,Bovine Pneumonia,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0"
"cow,5.3,105.9,Anthrax,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,5.9,105.4,Black Quarter,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
"cow,1.1,106.0,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
"cow,1.6,104.8,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0"
"cow,4.0,103.9,Bovine Pneumonia,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,5.8,105.5,Lumpy Skin Disease,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0"
"cow,3.5,105.9,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,4.8,104.2,Lumpy Skin Disease,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0"
"cow,2.2,104.9,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,2.1,103.7,Bovine Pneumonia,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0"
"buffalo,6.8,104.1,Lumpy Skin Disease,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1"
"buffalo,9.8,104.2,Bovine Pneumonia,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0"
"cow,5.4,104.2,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,4.1,106.0,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.1,104.1,Foot-and-Mouth Disease,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,5.3,104.9,Lumpy Skin Disease,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0"
"cow,6.8,105.4,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0"
"cow,6.3,104.3,Lumpy Skin Disease,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0"
"cow,9.8,103.3,Bovine Pneumonia,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0"
"buffalo,2.1,103.2,Bovine Pneumonia,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0"
"cow,1.0,104.6,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,7.8,104.8,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.0,104.4,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0"
"cow,8.0,105.4,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0"
"buffalo,2.4,104.7,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0"
"cow,4.9,102.7,Bovine Pneumonia,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.4,104.9,Lumpy Skin Disease,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"cow,2.2,104.5,Anthrax,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0"
"cow,7.7,104.4,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0"
"cow,4.1,105.0,Foot-and-Mouth Disease,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"cow,8.2,103.1,Bovine Pneumonia,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,6.2,105.9,Anthrax,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0"
"buffalo,1.0,105.1,Foot-and-Mouth Disease,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.6,105.1,Anthrax,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0"
"cow,5.2,104.5,Lumpy Skin Disease,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0"
"cow,7.7,105.1,Anthrax,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1"
"cow,3.6,105.9,Anthrax,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
"buffalo,1.9,105.2,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
"cow,2.0,105.5,Black Quarter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
"buffalo,9.0,103.4,Bovine Pneumonia,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1"
"cow,4.1,104.9,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0"
"cow,2.8,104.8,Anthrax,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0"
"cow,4.0,105.7,Foot-and-Mouth Disease,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
"cow,6.4,104.9,Anthrax,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0"
"buffalo,4.3,104.1,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0"
"buffalo,4.5,103.7,Foot-and-Mouth Disease,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,6.1,105.2,Anthrax,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"cow,1.2,104.4,Lumpy Skin Disease,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1"
"buffalo,3.5,104.5,Foot-and-Mouth Disease,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
"cow,7.2,104.1,Bovine Pneumonia,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,7.0,105.6,Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"buffalo,2.3,104.5,Lumpy Skin Disease,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0"
"cow,1.6,104.3,Black Quarter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0"
"cow,4.5,104.9,Foot-and-Mouth Disease,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1"
"buffalo,8.4,104.0,Bovine Pneumonia,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,1.6,104.2,Foot-and-Mouth Disease,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"cow,6.1,104.3,Bovine Pneumonia,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,7.2,103.3,Bovine Pneumonia,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,1.4,104.6,Black Quarter,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
"buffalo,7.2,105.1,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0"
"buffalo,2.5,104.7,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0"
"cow,4.7,102.6,Bovine Pneumonia,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,2.6,104.7,Foot-and-Mouth Disease,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0"
"sheep,7.0,104.3,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0"
"cow,5.8,104.0,Black Quarter,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1"
"cow,3.3,104.9,Anthrax,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
"cow,4.9,102.5,Bovine Pneumonia,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0"
"cow,4.5,105.4,Foot-and-Mouth Disease,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"buffalo,5.0,104.8,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0"
"cow,1.4,105.3,Lumpy Skin Disease,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0"
"cow,3.6,105.0,Foot-and-Mouth Disease,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0"
"cow,9.6,102.8,Bovine Pneumonia,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0"
"cow,3.6,105.4,Anthrax,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0"
"cow,2.8,102.7,Bovine Pneumonia,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,7.1,105.7,Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0"
"sheep,6.4,104.7,Anthrax,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0"
"cow,3.7,104.9,Lumpy Skin Disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1"
"buffalo,9.0,103.0,Bovine Pneumonia,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0"
"cow,2.3,105.5,Foot-and-Mouth Disease,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,2.0,104.2,Anthrax,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0"
"cow,2.3,104.2,Black Quarter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0"
"cow,0.8,105.0,Foot-and-Mouth Disease,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
"cow,3.8,104.5,Black Quarter,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0"
"cow,1.5,104.4,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
"cow,2.4,104.5,Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,7.6,103.5,Bovine Pneumonia,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0"
"buffalo,7.1,103.1,Bovine Pneumonia,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,2.8,105.2,Foot-and-Mouth Disease,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
"cow,3.9,104.9,Black Quarter,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
"cow,3.4,104.6,Black Quarter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0"
"cow,2.1,104.3,Lumpy Skin Disease,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0"
"cow,5.0,102.7,Bovine Pneumonia,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,6.2,105.3,Lumpy Skin Disease,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0"
"buffalo,2.7,105.8,Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0"
"cow,4.9,102.5,Bovine Pneumonia,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0"
"cow,4.0,103.0,Bovine Pneumonia,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"cow,1.4,103.7,Foot-and-Mouth Disease,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,4.2,105.5,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0"
"cow,5.3,103.6,Bovine Pneumonia,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1"
"cow,3.0,104.8,Anthrax,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0"
"buffalo,2.1,104.4,Anthrax,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,5.1,102.8,Bovine Pneumonia,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.9,104.8,Anthrax,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0"
"sheep,8.2,103.0,Bovine Pneumonia,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,0.6,104.3,Foot-and-Mouth Disease,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"cow,3.2,104.7,Foot-and-Mouth Disease,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
"cow,6.5,105.4,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0"
"cow,3.6,104.3,Black Quarter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
"cow,5.9,104.1,Lumpy Skin Disease,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
"cow,3.3,105.1,Black Quarter,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0"
"cow,6.3,104.5,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0"
"buffalo,6.7,104.3,Lumpy Skin Disease,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0"
"cow,4.5,104.8,Anthrax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0"
"cow,9.8,103.7,Bovine Pneumonia,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0"
"buffalo,1.5,105.0,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0"
"cow,5.0,104.3,Black Quarter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
"cow,1.4,104.8,Foot-and-Mouth Disease,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,7.5,103.6,Bovine Pneumonia,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,1.3,104.5,Black Quarter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
"cow,0.6,104.3,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
"cow,3.5,103.7,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,2.7,104.9,Lumpy Skin Disease,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0"
"sheep,4.9,104.4,Foot-and-Mouth Disease,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"cow,5.3,105.3,Black Quarter,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0"
"sheep,7.2,103.5,Bovine Pneumonia,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,2.4,103.8,Foot-and-Mouth Disease,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
"sheep,2.9,105.4,Lumpy Skin Disease,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0"
"cow,7.7,105.7,Anthrax,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0"
"cow,7.4,104.7,Anthrax,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0"
"cow,2.8,104.0,Anthrax,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
"cow,2.9,105.0,Black Quarter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
"buffalo,3.1,105.4,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
"cow,6.4,104.8,Lumpy Skin Disease,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0"
"sheep,4.8,105.6,Foot-and-Mouth Disease,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"sheep,7.5,104.6,Anthrax,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0"
"cow,2.4,105.0,Foot-and-Mouth Disease,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0"
"buffalo,2.5,105.5,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1"
"cow,1.9,105.2,Black Quarter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0"
"cow,4.4,105.3,Foot-and-Mouth Disease,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1"
"cow,2.6,104.3,Anthrax,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,6.5,104.1,Anthrax,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0"
"cow,3.8,105.9,Anthrax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0"
"cow,2.9,103.0,Bovine Pneumonia,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"buffalo,5.3,102.7,Bovine Pneumonia,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0"
"cow,3.1,103.7,Bovine Pneumonia,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1"
"cow,4.2,104.6,Lumpy Skin Disease,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0"
"sheep,4.1,105.0,Lumpy Skin Disease,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0"
